,solar_cf,wind_cf,price
2019-01-01 00:00:00,0.0,0.5017,39.43579938184959
2019-01-01 01:00:00,0.0,0.5179,51.90718090705437
2019-01-01 02:00:00,0.0,0.5435,59.826817827881555
2019-01-01 03:00:00,0.0,0.5902,58.03561785498545
2019-01-01 04:00:00,0.0,0.6244,37.71262787348285
2019-01-01 05:00:00,0.0,0.6622,50.284079061359705
2019-01-01 06:00:00,0.0,0.6808,48.94366870910265
2019-01-01 07:00:00,0.0018,0.693,47.58357221688041
2019-01-01 08:00:00,0.0123,0.6876,43.23443075675223
2019-01-01 09:00:00,0.0288,0.7129,59.16253083854588
2019-01-01 10:00:00,0.0433,0.7511,28.718242797185173
2019-01-01 11:00:00,0.047,0.7599,45.65538460586565
2019-01-01 12:00:00,0.0423,0.778,50.27189428285804
2019-01-01 13:00:00,0.0273,0.7883,-8.762548877694245
2019-01-01 14:00:00,0.0094,0.7907,51.934833584596575
2019-01-01 15:00:00,0.0004,0.8137,45.459360107920084
2019-01-01 16:00:00,0.0,0.826,78.14206220619721
2019-01-01 17:00:00,0.0,0.827,49.7259092124455
2019-01-01 18:00:00,0.0,0.8206,52.230623858071425
2019-01-01 19:00:00,0.0,0.8209,33.968136466681436
2019-01-01 20:00:00,0.0,0.8179,26.522888488527553
2019-01-01 21:00:00,0.0,0.7966,37.20740892982102
2019-01-01 22:00:00,0.0,0.79,-3.3023238760456124
2019-01-01 23:00:00,0.0,0.7497,54.74771553162847
2019-01-02 00:00:00,0.0,0.7198,51.77712074968865
2019-01-02 01:00:00,0.0,0.6932,47.78120281856361
2019-01-02 02:00:00,0.0,0.6724,47.024368626866995
2019-01-02 03:00:00,0.0,0.6799,47.93521212164004
2019-01-02 04:00:00,0.0,0.7007,35.670293362818136
2019-01-02 05:00:00,0.0,0.7121,32.031461255037726
2019-01-02 06:00:00,0.0,0.7008,32.35156317913039
2019-01-02 07:00:00,0.0023,0.6773,38.762800249138564
2019-01-02 08:00:00,0.0311,0.6547,58.953079387743045
2019-01-02 09:00:00,0.0872,0.643,50.371068818183396
2019-01-02 10:00:00,0.1332,0.6473,34.92475625502705
2019-01-02 11:00:00,0.1458,0.654,38.72255441568285
2019-01-02 12:00:00,0.1319,0.6443,38.18286819107008
